Y1,Y2,Y3,Y4,Date
94.77,50,1.663822,85.65289685,Jan-60
96.23,55,1.631060063,85.64707086,Feb-60
98.12,50,1.663371048,94.26923213,Mar-60
99.09,45,1.635044714,93.91535993,Apr-60
100.04,40,1.497565714,91.66797645,May-60
100.12,40,1.425944333,96.18867185,Jun-60
99.93,36,1.403846391,97.85520716,Jul-60
100.09,35,1.403841048,97.96232866,Aug-60
101.44,32,1.378964409,104.5565835,Sep-60
102.38,30,1.428126091,111.9547617,Oct-60
103.68,25,1.479556,116.4717583,Nov-60
104.12,30,1.436009087,123.8581526,Dec-60
104.81,27,1.349900238,122.6436689,Jan-61
105.35,25,1.330214647,127.1575183,Feb-61
106.36,25,1.322204217,134.5881754,Mar-61
106.89,24,1.357882905,145.4815468,Apr-61
107.35,24,1.5085833,156.8251985,May-61
107.21,23,1.495925636,164.6628285,Jun-61
107.72,23,1.455224136,163.8795328,Jul-61
108.54,23,1.474444238,172.5221336,Aug-61
109.57,22,1.505570045,176.1831551,Sep-61
112.03,22,1.491942,180.3305329,Oct-61
113.5,25,1.45239495,185.6534261,Nov-61
113.86,24,1.400063217,191.0830351,Dec-61
114.49,22,1.356542105,192.046516,Jan-62
114.51,20.5,1.316475,198.6206794,Feb-62
114.81,36,1.311252174,208.3732506,Mar-62
115.63,19.6,1.360038095,215.7593859,Apr-62
116.69,18.75,1.371628571,224.7704761,May-62
116.81,19.5,1.361218182,234.9312423,Jun-62
116.14,18.5,1.339152381,239.150055,Jul-62
117.13,18.5,1.343077273,250.0314248,Aug-62
118.33,18.5,1.340636364,258.3160831,Sep-62
120.45,18.65,1.357709524,266.8814922,Oct-62
122.14,18,1.360205,274.954284,Nov-62
122.65,18.5,1.352204545,308.045009,Dec-62
123.57,18,1.334344444,305.0688588,Jan-63
123.84,17,1.326535,317.0936554,Feb-63
124.18,16.6,1.33513913,333.5391302,Mar-63
125.84,18,1.337345,345.1814308,Apr-63
128.2,16,1.420659091,377.3466754,May-63
128.63,19.99,1.600536364,391.3495679,Jun-63
129.72,21.55,1.558266667,394.2308343,Jul-63
