10	-2.016	0.521	-1.995	0.662	-1.754	0.704	-1.747	1.094	-1.575	1.528	-1.618	2.602	-1.635	8.591   -1.693	10.596  -1.693	10.596
11	-2.008	0.493	-1.991	0.596	-1.778	0.619	-1.763	0.901	-1.590	1.066	-1.593	1.599	-1.482	2.348	-1.693	10.596  -1.693	10.596
12	-2.008	0.481	-1.991	0.561	-1.793	0.568	-1.776	0.752	-1.610	0.894	-1.600	1.242	-1.472	1.551	-1.513	3.137	-1.557	3.708
13	-2.003	0.470	-1.995	0.542	-1.813	0.538	-1.791	0.693	-1.636	0.778	-1.616	1.001	-1.487	1.187	-1.501	1.704	-1.410	2.808
14	-1.995	0.446	-1.986	0.515	-1.819	0.507	-1.802	0.638	-1.650	0.701	-1.632	0.894	-1.509	1.008	-1.509	1.295	-1.400	1.587
15	-1.999	0.447	-1.988	0.494	-1.828	0.487	-1.808	0.588	-1.671	0.639	-1.653	0.813	-1.532	0.897	-1.519	1.120	-1.410	1.289
16	-1.991	0.425	-1.987	0.486	-1.838	0.467	-1.824	0.555	-1.693	0.605	-1.673	0.734	-1.559	0.819	-1.550	1.005	-1.446	1.108
17	-1.998	0.430	-1.988	0.468	-1.849	0.460	-1.833	0.533	-1.703	0.578	-1.688	0.695	-1.578	0.757	-1.565	0.906	-1.459	0.992
18	-1.989	0.414	-1.983	0.448	-1.856	0.440	-1.840	0.504	-1.720	0.540	-1.700	0.635	-1.592	0.694	-1.573	0.823	-1.475	0.902
19	-1.989	0.416	-1.984	0.455	-1.865	0.439	-1.852	0.494	-1.741	0.534	-1.723	0.614	-1.620	0.662	-1.599	0.778	-1.501	0.850
20	-1.991	0.410	-1.987	0.445	-1.868	0.431	-1.858	0.491	-1.751	0.515	-1.729	0.583	-1.630	0.626	-1.610	0.734	-1.518	0.803
21	-1.984	0.400	-1.981	0.424	-1.874	0.415	-1.864	0.470	-1.762	0.492	-1.745	0.557	-1.655	0.597	-1.635	0.691	-1.546	0.746
22	-1.987	0.402	-1.983	0.431	-1.879	0.414	-1.870	0.463	-1.770	0.481	-1.752	0.541	-1.662	0.578	-1.649	0.662	-1.564	0.710
23	-1.984	0.396	-1.983	0.424	-1.883	0.411	-1.875	0.449	-1.779	0.461	-1.767	0.520	-1.683	0.556	-1.665	0.623	-1.583	0.672
24	-1.982	0.394	-1.982	0.423	-1.885	0.403	-1.879	0.445	-1.789	0.451	-1.772	0.500	-1.691	0.530	-1.678	0.602	-1.598	0.638
25	-1.983	0.389	-1.980	0.414	-1.890	0.399	-1.882	0.432	-1.798	0.442	-1.786	0.493	-1.706	0.527	-1.691	0.582	-1.612	0.624
30	-1.980	0.381	-1.979	0.399	-1.905	0.384	-1.900	0.402	-1.824	0.408	-1.814	0.436	-1.746	0.456	-1.734	0.497	-1.667	0.522
35	-1.979	0.369	-1.979	0.387	-1.919	0.374	-1.914	0.390	-1.849	0.391	-1.842	0.416	-1.785	0.427	-1.777	0.460	-1.717	0.478
40	-1.977	0.365	-1.976	0.379	-1.922	0.370	-1.917	0.383	-1.863	0.381	-1.857	0.400	-1.807	0.409	-1.800	0.433	-1.746	0.444
45	-1.978	0.365	-1.977	0.373	-1.932	0.363	-1.928	0.371	-1.879	0.365	-1.874	0.381	-1.828	0.385	-1.822	0.408	-1.773	0.419
50	-1.974	0.359	-1.973	0.366	-1.932	0.358	-1.933	0.369	-1.892	0.367	-1.888	0.378	-1.845	0.383	-1.841	0.399	-1.798	0.404
60	-1.973	0.354	-1.975	0.363	-1.940	0.355	-1.938	0.363	-1.903	0.357	-1.902	0.366	-1.869	0.368	-1.867	0.380	-1.830	0.381
70	-1.974	0.352	-1.974	0.356	-1.946	0.348	-1.945	0.353	-1.915	0.351	-1.912	0.354	-1.883	0.354	-1.879	0.365	-1.850	0.367
80	-1.972	0.350	-1.972	0.355	-1.948	0.350	-1.947	0.355	-1.921	0.350	-1.919	0.351	-1.893	0.352	-1.892	0.359	-1.864	0.358
90	-1.977	0.347	-1.978	0.351	-1.955	0.344	-1.954	0.348	-1.931	0.345	-1.930	0.352	-1.906	0.352	-1.906	0.358	-1.882	0.354
100	-1.972	0.346	-1.972	0.348	-1.952	0.343	-1.951	0.345	-1.930	0.341	-1.930	0.344	-1.911	0.346	-1.910	0.351	-1.888	0.351
200	-1.971	0.339	-1.971	0.339	-1.962	0.338	-1.962	0.337	-1.952	0.335	-1.952	0.336	-1.941	0.334	-1.940	0.336	-1.929	0.333
